[16/12/25 11:53:35] | DEBUG | EXP:None | CALL go_to_vial('rack1', 1)
[16/12/25 11:53:35] | DEBUG | EXP:None | CALL move_z(45.0)
[16/12/25 11:53:35] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.519s)
[16/12/25 11:53:35] | DEBUG | EXP:None | CALL move_xy(np.float64(35.6), np.float64(8.05), module_name='rack1')
[16/12/25 11:53:36] | DEBUG | EXP:None | RETURN move_xy -> 'Moved to X=35.6, Y=8.05. Result: Move XY: 2, Success' (Duration: 0.540s)
[16/12/25 11:53:36] | DEBUG | EXP:None | RETURN go_to_vial -> (np.float64(35.6), np.float64(8.05)) (Duration: 1.060s)
[16/12/25 11:53:39] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[16/12/25 11:53:40] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.518s)
[16/12/25 11:54:27] | DEBUG | EXP:None | CALL move_y(8.1)
[16/12/25 11:54:27] | DEBUG | EXP:None | CALL move_z(55)
[16/12/25 11:54:28] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.535s)
[16/12/25 11:54:28] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 8.1. Result: Move Y: 2, Success' (Duration: 1.090s)
[16/12/25 11:54:33] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[16/12/25 11:54:34] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.525s)
[16/12/25 11:55:19] | DEBUG | EXP:None | CALL move_y(25.5)
[16/12/25 11:55:19] | DEBUG | EXP:None | CALL move_z(55)
[16/12/25 11:55:19] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.506s)
[16/12/25 11:55:20] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 25.5. Result: Move Y: 2, Success' (Duration: 1.016s)
[16/12/25 11:55:24] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[16/12/25 11:55:25] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.508s)
[16/12/25 11:55:48] | DEBUG | EXP:None | CALL move_y(25.65)
[16/12/25 11:55:48] | DEBUG | EXP:None | CALL move_z(55)
[16/12/25 11:55:48] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.530s)
[16/12/25 11:55:49] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 25.65. Result: Move Y: 2, Success' (Duration: 1.089s)
[16/12/25 11:55:50] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[16/12/25 11:55:51] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.526s)
[16/12/25 11:56:08] | DEBUG | EXP:None | CALL move_y(25.7)
[16/12/25 11:56:08] | DEBUG | EXP:None | CALL move_z(55)
[16/12/25 11:56:08] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.546s)
